id,statement,label,speaker,party_affiliation,subject,context,pants_on_fire_counts,false_counts,barely_true_counts,half_true_counts,mostly_true_counts,label_id
9670.json,Russia has an economy the size of Italy.,mostly-true,lindsey-graham,republican,"economy,foreign-policy","comments on CNN's ""State of the Union""",0,2,2,4,2,4
2553.json,Says James Langevin voted to spend $3 billion for a jet engine no one wants.,barely-true,mark-zaccaria,republican,"economy,federal-budget,government-efficiency,military,voting-record",a news release,0,2,2,0,0,2
1165.json,Scientists project that the Arctic will be ice-free in the summer of 2013.,barely-true,john-kerry,democrat,"climate-change,environment",an op-ed published in the Huffington Post,0,2,3,2,5,2
8905.json,On the Cuba embargo,false,charlie-crist,democrat,foreign-policy,"an interview on HBO's ""Real Time""",2,9,15,20,19,1
13450.json,"Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. Its true. I get far bigger crowds.",false,donald-trump,republican,"elections,pop-culture","a speech in Raleigh, N.C.",61,114,63,51,37,1
3584.json,Foreign aid makes up about 1 percent of our entire budget.,true,barack-obama,democrat,"federal-budget,foreign-policy",a speech.,9,71,70,160,163,5
7547.json,"In the last two years, we have reduced the deficit by $2.5 trillion.",false,harry-reid,democrat,"deficit,federal-budget",a Senate floor speech,3,5,4,3,7,1
3844.json,"Says for the first time ever, Texas lawmakers are not funding student population growth.",mostly-true,wendy-davis,democrat,"education,state-budget,state-finances",a filibuster.,1,1,5,8,12,4
7523.json,Says the federal government is supporting a study in Hawaii to develop a menu for when we colonize Mars.,mostly-true,rand-paul,republican,"federal-budget,science,space",a speech at the CPAC conference,3,8,7,10,12,4
7215.json,Says George Washington said a free people should be armed to guard against government tyranny.,false,louie-gohmert,republican,"government-regulation,guns",an interview on ‘Fox News Sunday’,1,6,2,1,0,1
6574.json,Says most Texas schools spend 45 out of 180 school days in mandated testing.,false,ted-lyon,democrat,"education,state-budget",an opinion column in the Austin American-Statesman,0,1,0,0,0,1
10818.json,Republicans have already cut our neighborhood public schools three budgets in a row.,barely-true,katrina-shankland,democrat,education,a news release,0,1,2,0,0,2
4680.json,"For each $1 billion in infrastructure investment, 42,000 jobs are created.",half-true,steve-latourette,republican,"economy,infrastructure,jobs",a statement on his congressional website,0,0,0,3,1,3
5885.json,Says George Flinn has been a no show at scheduled forums.,false,charlotte-bergmann,republican,campaign-advertising,in a press release calling for debates.,1,2,0,0,0,1
9827.json,Says Iowa Gov. Terry Branstad chartered a plane to remove 124 young illegal immigrants from his state and take them back to Honduras.,pants-fire,chain-email,none,immigration,a chain email,105,43,11,8,5,0
9313.json,"During the George W. Bush period, there were 13 attacks on various embassies and consulates around the world. Sixty people died.",mostly-true,john-garamendi,democrat,"foreign-policy,history,terrorism","an interview on MSNBC's ""The Ed Show""",0,0,1,0,1,4
3761.json,"In the first year of the Obama administration, more jobs were created in the private sector than in the eight years of the Bush administration.",false,nancy-pelosi,democrat,"economy,history",an interview with Bloomberg television,3,7,3,11,2,1
11873.json,Ted Cruz defended a Chinese company that stole an invention from an American inventor.,mostly-true,marco-rubio,republican,"china,corporations,legal-issues","an interview in Bow, N.H.",5,24,33,32,35,4
278.json,"""I supported (the surge), I argued for it. I'm the only one on this stage that did.""",false,john-mccain,republican,iraq,"a debate in Myrtle Beach, S.C.",8,39,31,31,37,1
8465.json,Test scores had gone up steadily for 40 years until No Child Left Behind and Race to the Top.,barely-true,diane-ravitch,newsmaker,"bush-administration,education",a speech,0,0,1,0,0,2
163.json,"""She hasn't run a corner store. She hasn't run a state. She hasn't run a city. She has never run anything.""",barely-true,mitt-romney,republican,job-accomplishments,a TV ad airing in New Hampshire.,19,32,34,58,33,2
12619.json,"Says Ron Johnson justifies his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers, but then he voted to eliminate it.",barely-true,russ-feingold,democrat,trade,a news conference,1,4,2,7,5,2
935.json,The stimulus has $30 million in there to protect mice in San Francisco.,false,mike-pence,republican,"federal-budget,stimulus",a statement on Fox News Channel.,0,10,8,12,5,1
5434.json,President Obama once said he wants everybody in America to go to college.,false,rick-santorum,republican,education,"a speech in Troy, Mich.",5,16,12,13,7,1
10270.json,Were borrowing 20% of (the federal) budget.,half-true,glenn-grothman,republican,federal-budget,an interview,0,4,2,1,1,3
13322.json,"Says Ted Strickland in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I dont know where he is on this issue.",true,rob-portman,republican,guns,the Ohio Senate debate,1,5,3,11,11,5
3507.json,"Originally, Democrats promised that if you liked your health care plan, you could keep it. One year later we know that you need a waiver to keep your plan.",barely-true,morgan-griffith,republican,health-care,a newsletter.,0,2,3,1,0,2
12722.json,"What difference, at this point, does it make? I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question, Why didnt you just pick up the phone and call the survivors (of the Benghazi attack)?",mostly-true,ron-johnson,republican,"candidates-biography,foreign-policy",the GOP convention in Cleveland,1,6,14,10,10,4
4140.json,Says President Barack Obamas own economists say the stimulus cost $278K per job created.,false,david-dewhurst,republican,"economy,jobs,stimulus",a Twitter message.,5,8,8,10,5,1
9520.json,Republican candidate for governor Ken Block was fined and had to admit that (he) funneled money illegally to the Moderate Party.,true,allan-fung,republican,"campaign-finance,candidates-biography,history",a debate,1,2,2,0,2,5
2234.json,Obamas approval numbers are in the low 40s.,mostly-true,matthew-dowd,independent,"pundits,abc-news-week","a roundtable discussion on ABC's ""This Week with Christiane Amanpour''",0,0,0,2,4,4
9252.json,"40 percent of illegal immigrants had a visa and then became illegal, mostly because they changed jobs.",half-true,rand-paul,republican,"agriculture,homeland-security,immigration,jobs,population",a news conference,3,8,7,10,12,3
7809.json,"Says Hillary Clinton was asked repeatedly to provide security in Benghazi on several occasions, including direct cables.",barely-true,rand-paul,republican,"foreign-policy,terrorism", an appearance on CNN’s ‘State of the Union’,3,8,7,10,12,2
7956.json,Recent record-low water levels in Lake Michigan are evidence that global warming is leading to the evaporation of our Great Lakes.,half-true,richard-durbin,democrat,"climate-change,environment,water",a Senate floor speech,1,2,0,1,0,3
7462.json,Virginia is the only state that has a tradition of attorneys general resigning if they run for governor.,true,ken-cuccinelli,republican,states,a radio interview.,1,10,1,3,2,5
2448.json,"Under Gov. Kitzhaber, unemployment rose 65 percent, state spending went up 57 percent and personal incomes declined compared to the rest of the country.",half-true,chris-dudley,republican,economy,a speech in Albany,1,0,0,1,1,3
6381.json,"Mitt Romney is proposing a tax plan that would give millionaires another tax break and raises taxes on middle class families by up to $2,000 a year.",mostly-true,barack-obama,democrat,"message-machine-2012,taxes",a TV ad,9,71,70,160,163,4
8884.json,Says Bill OReilly spoke 40 percent of the words in an interview with President Barack Obama.,mostly-true,dana-milbank,none,pundits,"a broadcast of MSNBC's ""Politics Nation""",0,0,2,0,1,4
4174.json,"Says unemployment in Trenton is twice as much as what we see in every other area of the state and, as a result, we have seen an increase in crime.",barely-true,shirley-turner,democrat,"crime,jobs",a speech on the Senate floor,0,0,1,0,0,2
7414.json,Nobody in total is proposing cutting anything. Were trying to reduce the rate of growth in government.,mostly-true,ron-johnson,republican,"deficit,federal-budget,medicaid,medicare",a radio interview,1,6,14,10,10,4
3244.json,Says Wisconsin Gov. Scott Walker has threatened to call out the National Guard if workers protest against changes to bargaining laws.,pants-fire,progressive-change-campaign-committee,none,"labor,state-budget",an email blast to supporters,1,1,0,1,1,0
8235.json,Rep. Frank Wolf voted to allow terror suspects to buy guns.,half-true,mayors-against-illegal-guns,organization,"guns,terrorism",a web ad.,0,0,0,3,0,3
5515.json,"Says traffic fatalities have fallen dramatically, even as population has risen. You are more likely to stay alive biking, walking and driving around Portland than you were before he took over the Portland Bureau of Transportation.",half-true,sam-adams,democrat,transportation,a commentary article.,0,2,3,5,2,3
5869.json,Each U.S. House member who voted to overhaul Social Security in 1983 was re-elected.,half-true,saxby-chambliss,republican,"bipartisanship,social-security",a speech,1,1,1,3,4,3
306.json,"""I was fighting against those (Republican) ideas when you were practicing law and representing your contributor, Rezko, in his slum landlord business in inner city Chicago.""",barely-true,hillary-clinton,democrat,candidates-biography,"a debate in Myrtle Beach, S.C.",7,29,40,69,76,2
1074.json,"""In Wisconsin, the stimulus paid for a bridge to a bar called Rusty's Backwater Saloon. They've got great burgers, but no new jobs.""",barely-true,john-boehner,republican,"economy,stimulus",a Web ad,2,22,13,11,4,2
9068.json,"After Russia went to war with Georgia in 2008, the U.S. sent a very strong message to Vladimir Putin by sending warships to the Black Sea and airlifting combat troops that Georgia had in Afghanistan back to Georgia.",barely-true,karl-rove,republican,"foreign-policy,history,military","an interview on ""Fox News Sunday""",0,5,2,2,8,2
9526.json,I had the lowest net worth of any American president in the 20th century when I took office.,half-true,bill-clinton,democrat,"history,wealth","comments on NBC's ""Meet the Press""",3,2,4,12,11,3
6690.json,David Cicilline was required to provide key information about city finances to an independent outside auditor. The deadlines were clear -- yet [he intentionally] missed them by months until after the November 2010 election.,barely-true,brendan-doherty,republican,"candidates-biography,city-budget,city-government,debt,deficit,campaign-advertising",a news release,0,2,1,1,1,2
12305.json,Says LeBron James stops paying his Social Security taxes at the beginning of the second quarter of the first game of the season.,mostly-true,alan-grayson,democrat,"social-security,taxes",an Orlando debate,1,5,6,4,11,4
12977.json,Says Hillary Clinton is the one that labeled African-American youth as superpredators.,mostly-true,reince-priebus,republican,crime,an interview during NBC's Meet the Press,1,12,2,8,3,4
